Item,respondent_nation,complainant_nation,case_status,year_claim_initiated,year_claim_resolved,means_of_resolution,respondent_type,complainant_type,respondent_nation_economy,complainant_nation_economy,provenience_nation
Benin Decorative Bronze Plaques,United Kingdom,Nigeria,Object(s) not relinquished,2018,,,Public: Institution,Public: Government,Developed,In Transition,Benin
Ethiopian Maqdala Treasure,United Kingdom,Ethiopia,Some objects relinquished,2008,2018,Private Negotiation,Public: Institution,Public: Government,Developed,In Transition,Ethiopia
Polish Portrait Of A Lady By Melchior Geldorp,United States,Poland,Object(s) relinquished,2016,2016,Inquiry/Demand,Private: Individual,Public: Institution,Developed,Developed,
Turkish Anatolian Guennol-Stargazer Marble Statue,United States,Turkey,Object(s) not relinquished,2017,2021,Litigation,Private: Company,Public: Government,Developed,In Transition,Turkey
Italian Trequanda Gothic Processional Cross,United States,Italy,Object(s) relinquished,2008,2008,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,Italy
"Southern Italian Bronzes, Jewelry And Ceramics",United States,Italy,Object(s) relinquished,2008,2008,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,Italy
Oil Paintings By Das Bunte Leben And Kandinsky,Germany,United States,Object(s) not relinquished,2015,,Litigation,Public: Institution,Private: Individual,Developed,Developed,Netherlands
Ships in a Rough Sea by Simon de Vlieger's,Germany,Poland,Object(s) relinquished,2016,2017,Private Negotiation,Private: Institution,Public: Institution,Developed,Developed,Netherlands
Italian Sessa Aurunca Head Of Drusus Minor,United States,Italy,Object(s) relinquished,2012,2017,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,Italy
"Paintings By Max Beckmann, Juan Gris, And Paul Klee",Germany,United Kingdom,Object(s) not relinquished,2016,,Litigation,Public: Institution,Private: Individual,Developed,Developed,
Italian Varii De Natvralibvs Rebus Libelli (Printed Book),United States,Italy,Object(s) relinquished,2017,2017,Inquiry/Demand,Public: Institution,Private: Institution,Developed,Developed,Italy
Italian Renaissance Book And Illuminated Page Of Renaissance Book,United States,Italy,Object(s) relinquished,2017,2017,Inquiry/Demand,Public: Institution,Public: Institution,Developed,Developed,
2 Mexican Olmec Wood Head Carvings,Germany,Mexico,Object(s) relinquished,2015,2015,Litigation,Private: Individual,Public: Government,Developed,In Transition,Mexico
Mexican Autobiography Of Luis De Carvajal Manuscript,United States,Mexico,Object(s) relinquished,2015,2017,Private Negotiation,Private: Institution,Public: Institution,Developed,In Transition,Mexico
Greek Pottery,,United States,Object(s) relinquished,2015,2015,,,Public: Government,,Developed,Italy
Four Mosaics from Church of Panagia Kanakaria in Cyprus,United States,Cyprus,Object(s) relinquished,1989,1989,Litigation,Private: Individual,Public: Government,Developed,Developed,Cyprus
Indian Tamil Nadu Bronze Gnesha Statue,United States,India,Object(s) relinquished,2011,2014,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,India
"Etruscan And Central Italian Ceramics, Marble Antiquities And 3 Etruscan Bronzes",United States,Italy,Object(s) relinquished,2007,2007,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,
French Pissarro Print: Le Marché,United States,France,Object(s) relinquished,1981,2012,Litigation,Private: Individual,Public: Government,Developed,Developed,
Italian Antiquities,United States,Italy,Object(s) relinquished,2004,2007,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Italy
3 1st Century Fresco Fragments,United States,Italy,Object(s) relinquished,1957,2015,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developed,Italy
32 Egyptian Classical Pharonic And Roman Objects,,Switzerland,Object(s) relinquished,2014,2015,,,Public: Government,,Developed,Egypt
Chinese Liaoning Fossils,Canada,China,Object(s) relinquished,2010,2010,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
Italian Mithra Marble Statue Torso,United States,Italy,Object(s) relinquished,1999,1999,Sua sponte donation,Private: Institution,Public: Government,Developed,Developed,Italy
Italian Diadoumenos Marble Statue Head,United States,Italy,Object(s) relinquished,1996,1999,Sua sponte donation,Private: Institution,Public: Government,Developed,Developed,Italy
"Italian Paeston Red Figure Calyx Crater, Stone Stela And Etruscan Candelabrum",United States,Italy,Object(s) relinquished,1994,2005,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Italy
Greek Stele,United States,Italy,Object(s) relinquished,1994,2005,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,
Kenyan Samoei Ceremonial Items,United Kingdom,Kenya,Object(s) not relinquished,1907,,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,
Benin Bronze Statue,Germany,Nigeria,Object(s) not relinquished,2008,,Inquiry/Demand,Private: Institution,Public: Government,Developed,In Transition,Benin
Italian Hellenistic Silver,United States,Italy,Object(s) relinquished,2006,2006,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Italy
42 Estonian Coins,Germany,Estonia,Object(s) relinquished,2005,2008,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,
North Vietnamese Soldier Helmet,United States,Vietnam,Object(s) relinquished,2012,2014,Sua sponte donation,Private: Individual,Private: Individual,Developed,In Transition,Vietnam
Vietnamese Nhu Ho Pagoda Bronze Bell,Japan,Vietnam,Object(s) relinquished,1978,1978,Sua sponte donation,Private: Individual,Private: Institution,Developed,In Transition,Vietnam
Indonesian Minto Stone,United Kingdom,Indonesia,Object(s) not relinquished,2004,,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Indonesia
Japanese Nagasaki Standing Bronze Buddha,South Korea,Japan,Object(s) not relinquished,2013,,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Japan
Japanese Nagasaki Seated Bodhisattva,South Korea,Japan,Object(s) not relinquished,2013,,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Japan
Japanese Nagasaki Tripitaka Buddhist Writings,South Korea,Japan,Object(s) not relinquished,2013,,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Japan
Greek Funerary Statue Fragments Of Seated Woman,United States,Greece,Object(s) relinquished,2011,2011,Sua sponte donation,Private: Institution,Public: Government,Developed,Developed,Greece
Greek Religious Calendar Of Thorikos,United States,Greece,Object(s) relinquished,2011,2011,Sua sponte donation,Private: Institution,Public: Government,Developed,Developed,Greece
